1;Ada;Price;34293538299;66;636621434;9321
2;Lucas;Hansen;22567919153;69;883650519;8555
3;Lillie;Pena;4724483192;71;499563809;3028
4;Elizabeth;McCoy;97334841495;94;437832674;9494
5;Virgie;Wood;22322919721;31;627564622;4719
6;Miguel;Gray;96462901090;27;894303386;6801
7;Hulda;Farmer;94065471584;77;318297667;1174
8;Leila;Lewis;19560767481;41;394305092;5982
9;Gabriel;Fisher;40627784673;36;719873774;8737
10;Walter;Cruz;55676988881;41;203965494;5925
11;Lily;Brock;61271302196;86;993856050;5144
12;Ray;Howard;10926462901;75;592167235;100
13;Cecilia;Carson;51665670356;50;714047810;369
14;Bettie;Day;78969955070;1;918589880;3772
15;Elva;Mathis;23015547557;49;652787114;875
16;Cordelia;Parker;85106376396;27;33919947;6864
17;Lula;Ross;77492081616;85;149592102;5323
18;Phoebe;Grant;56427594154;41;122634257;3008
19;Glenn;Rogers;74496308472;52;330243824;1268
20;Wesley;Holmes;63677678470;84;732848074;8579
21;Ruth;Dennis;41580752270;3;519915371;4555
22;Miguel;Watkins;26474345325;18;246239533;8259
23;Philip;Watts;45505677932;75;968378360;6627
24;Ophelia;Williamson;85134758539;62;99133042;422
25;Victoria;Hogan;6814930146;46;104908782;8149
26;Angel;Parker;97814884105;28;723050908;3771
27;Ella;Cruz;28133860862;25;745853949;6445
28;Jeffery;Henry;1630691758;7;673532096;1708
29;Jeanette;Chambers;51902969420;50;315334717;9818
30;Fannie;Martin;41399502016;67;412883423;2341
31;Richard;Hale;71327369925;83;342857184;4085
32;Logan;Ward;56501398619;65;803630939;6461
33;Abbie;Patton;88443376866;75;604189603;8077
34;Jeremiah;Martin;77675563712;77;788380097;9790
35;Loretta;Rodgers;29600064151;60;928644403;8719
36;Rena;Mullins;6908859046;77;90204317;6343
37;Maurice;McKinney;98223639757;58;928578766;3013
38;Bessie;Parks;24803408465;45;6929928;6655
39;Hilda;Singleton;64517221460;52;520153923;4233
40;Hulda;Padilla;19442252762;21;536426757;4758
41;Gussie;Casey;43528106440;91;22798267;6941
42;Steve;Black;76782955627;40;336237562;8027
43;Walter;Holt;65829468295;63;207076472;8493
44;Sallie;Lane;26928106637;22;759926610;7080
45;Lina;Harmon;99067943672;0;596189102;1679
46;Chad;Phillips;88054171375;58;807960489;3910
47;Dylan;Wong;57102639315;91;795105972;460
48;Dollie;Owen;48736027515;28;958939613;3126
49;Milton;Welch;47255647588;3;8569782;5118
50;Alice;Howard;37729114523;51;772215732;9191
51;Jesse;McDonald;92740658430;60;576491596;6590
52;Mary;Hill;23798772383;1;663598771;9491
53;Charlie;Obrien;17610045599;0;562860482;7217
54;Louise;Richardson;58372724132;35;868118841;1592
55;Dorothy;Fleming;13203988463;41;549199994;1223
56;Travis;Miles;30089747278;70;859779475;3538
57;Lucinda;Houston;288795314;86;456743768;5377
58;Allie;Bennett;17723926516;12;453160261;7848
59;Beatrice;Ruiz;23161440230;37;672885538;2591
60;Cornelia;Morrison;40154969402;26;287412685;4676
61;Mollie;Jensen;58486904878;59;421082516;586
62;Gerald;Tran;71513980281;44;668720051;1467
63;Franklin;Sutton;32540422583;93;221117812;4632
64;Carl;Strickland;73490804419;41;274953623;3471
65;Marvin;Jackson;14111299570;0;586412866;1876
66;Randy;Sutton;20790539064;85;121470622;1632
67;Augusta;Burke;6001468477;38;937580179;6316
68;Aiden;Todd;73616434406;11;12160120;8625
69;Tommy;Hunt;96300860720;14;656631374;5709
70;Elizabeth;Armstrong;63551585059;98;82760983;6855
71;Francis;Klein;80009591391;66;960432399;8394
72;Bruce;Cortez;52713937969;44;42711570;1483
73;Sean;Schmidt;66025924275;87;495946664;1838
74;Edward;Buchanan;98760457084;58;574919845;2594
75;Victoria;Summers;99370554675;63;747487864;8315
76;Nancy;Powers;97799365875;37;745686570;4476
77;Maggie;Cook;78191183073;52;173246065;2368
78;Carlos;Stanley;3899752574;12;455106956;646
79;Mabel;Carpenter;64488367756;37;459587157;1295
80;Theodore;Frazier;31393891902;26;835622424;4805
81;Dale;Sanders;78860796222;2;876414252;2781
82;Julia;Rivera;59588706621;53;413466736;9437
83;Clayton;Newman;6232612013;73;874482579;9067
84;Cody;Harrington;11581842265;70;835645234;7340
85;Esther;Wood;63589282189;43;36152507;1541
86;Lucas;King;66873368459;22;769758444;6502
87;Claudia;Murphy;72217583986;4;829337701;2403
88;Raymond;Nichols;76611314812;34;924349929;5684
89;Oscar;Brewer;7934539329;88;219800056;7977
90;Clifford;Boyd;61997882132;53;479374077;3731
91;Maurice;Cooper;73008915621;12;615266349;3209
92;Nell;Jackson;54811312467;19;43895111;3917
93;Hulda;Benson;30706110934;13;554719285;5324
94;Ray;Reed;69522202414;46;751839721;4306
95;Jeffery;Hawkins;84001768112;78;551033543;8083
96;Blake;Willis;36589348982;19;152949931;1789
97;Jonathan;Ortega;61641581534;90;239737694;5727
98;Emma;Bates;81674755665;62;715474566;8616
99;Allen;Curry;67009524948;1;218917030;4611
100;Mario;Abbott;62513752615;2;261209666;8685
101;Dean;Chavez;28604457220;14;739456555;6365
102;Gerald;Johnson;26794897729;38;689580762;1347
103;Francis;Park;9408111859;2;952971759;4768
104;Isaac;Guerrero;50393977612;52;438487002;5334
105;Vernon;Klein;8584620669;40;2701130;7585
106;Miguel;Day;6425270702;34;926851373;4062
107;Rosetta;Mendoza;96585471734;29;224319370;3481
108;Marguerite;Morton;98211030643;2;54429157;5583
109;Nathan;Stanley;287578895;70;180698168;5418
110;Barbara;Wagner;40473148324;75;982808083;2024
111;Duane;Harmon;99810112;55;181514767;9100
112;Teresa;Ramsey;66702373586;87;572302549;9815
113;Cameron;Wheeler;92296387496;97;649572105;6381
114;Ethan;Cook;81182100095;26;999938669;1220
115;Danny;Cooper;65208142617;37;607538329;2098
116;Louisa;Hanson;38877529702;42;55041633;3773
117;Lillie;Joseph;44521885823;54;425625108;2043
118;Polly;Harrington;24576321589;96;506865073;3847
119;Harriett;Park;91090699828;24;623041964;4567
120;Jorge;Jackson;36330637384;38;134858420;1230
121;Philip;McCormick;1456266423;90;432602406;8014
122;Rose;Byrd;33514999371;55;855372064;5142
123;Leonard;Bryan;25702954541;80;180265792;1098
124;Daisy;Manning;4912232714;50;782151252;7193
125;Kathryn;Cunningham;18782814103;45;347272594;7019
126;Genevieve;Hawkins;25270370853;98;601626584;7906
127;Beulah;Leonard;63552479061;61;720854027;8056
128;Marian;Harmon;82885415253;40;517896787;5338
129;Bertie;Gilbert;92673284007;1;296340941;3014
130;Amelia;Maldonado;63124270583;31;465806504;380
131;Victoria;Sherman;34689896215;89;62062462;8824
132;Clarence;Zimmerman;3460989542;64;871424895;8357
133;Tony;Elliott;77277352187;68;796277247;9054
134;Verna;Castro;49005135821;76;159192549;4097
135;Elsie;Nunez;36862260314;3;989827428;114
136;Hattie;Johnston;56709423447;85;697339980;4970
137;Sylvia;Blair;32539186718;59;574968817;5215
138;Jeremy;Schneider;89421110282;99;906921950;5676
139;Sally;Fletcher;61735036038;16;788287060;2394
140;Lina;Roberson;67063419109;20;7689657;7785
141;Ophelia;Castillo;81570277153;7;305393471;3173
142;Curtis;Bennett;56437905289;41;754767604;1484
143;Carl;Becker;39948383231;38;911028731;2933
144;Robert;Barton;72956721358;89;705042380;3721
145;Chad;Newton;6907012600;21;822970658;1419
146;Edwin;Stokes;80088675287;42;305103018;2384
147;Cecelia;Rogers;81088184102;87;129509999;8920
148;Beulah;McCarthy;60049309013;85;646877390;8149
149;Ethel;McCormick;35225481540;61;793659738;7574
150;Landon;Ball;55165060611;55;487577489;612
151;Eugenia;Glover;53474822254;15;370140678;9595
152;Henrietta;Manning;55255067227;0;641725060;4415
153;Lettie;Wells;23109590310;11;574232250;6128
154;Lelia;Bowers;36245502756;26;930778203;6740
155;Jon;Diaz;50438730111;58;982812292;4338
156;Allie;Watson;13062438976;10;563975337;6457
157;Fred;Hayes;46727279082;2;83399809;134
158;Elijah;Harrison;82684832442;21;544651991;9221
159;Dorothy;Delgado;19202009166;63;710945305;3053
160;Charlie;Evans;18229158999;5;785743104;7890
161;Fannie;Bridges;94779626453;98;883788687;6317
162;Virginia;Palmer;40051851455;32;309415942;6037
163;Claudia;Montgomery;71743175006;16;984432111;2824
164;Brian;Dean;93391239715;13;530017852;253
165;Essie;Swanson;97221804054;84;100677489;3420
166;Nathan;Parker;31067775287;34;181550932;5740
167;Jerome;Fletcher;75762402662;81;231243476;9110
168;Julian;Roberson;96904516197;12;909916601;745
169;Emily;Alvarado;42959486043;11;63885839;158
170;Leonard;Alvarez;6410870324;67;19928969;504
171;Katherine;Sharp;21423391799;10;676691441;1596
172;Duane;Lowe;95556148082;0;348827318;2511
173;Floyd;Carlson;63227078174;82;220207971;2373
174;Samuel;Keller;69950711582;29;130666194;5381
175;Sally;Lewis;83769800886;83;349435592;6676
176;Jesus;Powers;99187615374;52;862545170;6133
177;Chase;Bennett;54808940944;75;524771483;4847
178;Allen;Medina;44896012980;59;113863579;1973
179;Louisa;Lambert;68043871169;62;924308821;7910
180;Myrtle;McBride;65745053635;77;770302847;4675
181;Rosalie;Warren;593469906;34;326440142;3044
182;Sadie;Higgins;33989203664;93;427514260;7728
183;Rosetta;Stevens;22181445527;53;352937690;416
184;Lucy;Wheeler;73808817513;65;169138788;8298
185;Rose;Mills;64334425563;87;859814243;643
186;Lewis;Kelley;70259031084;90;101660259;7041
187;Cornelia;Marsh;59666537694;2;583544224;7840
188;Grace;Gibson;70826106078;87;966286857;8683
189;William;Stevenson;67009481098;18;891666608;3561
190;Lilly;Ortega;37055539023;11;619158725;1878
191;Brian;Paul;88325304901;72;868599603;3788
192;Della;Sharp;4576782260;27;223036229;2121
193;Teresa;Waters;67422551453;55;655964111;1116
194;Eva;Stewart;82518101708;52;938234700;2414
195;Esther;Baldwin;60415924889;73;661945359;9704
196;Maria;Henderson;87311065909;88;755409034;996
197;Alan;Fields;6825463634;1;102482405;4306
198;Evan;Wright;99897554141;69;971382712;5265
199;Carolyn;Schmidt;91868277675;98;500134430;9300
200;Eddie;Cooper;12137481348;8;523470512;4646
201;Beatrice;Reyes;67676195533;39;536281975;2841
202;Clyde;Walker;3138870958;22;455052434;8242
203;Hilda;Stevens;61532356325;3;552014031;4067
204;Maude;Watkins;88538554191;12;713147653;2212
205;Georgia;Howard;45057939639;86;363678649;4108
206;Timothy;Pittman;95431114537;38;526376314;5102
207;Maurice;Hubbard;60709051376;12;424937325;5071
208;Amelia;Morrison;56145156554;18;363590484;5958
209;Luke;Holt;94245247733;53;680083496;6388
210;David;Brooks;89604731863;13;384562090;9239
211;Johanna;Arnold;79254279713;59;842701476;5018
212;Matthew;Steele;37296450143;19;152422377;9888
213;Arthur;Colon;49247454554;86;300034648;512
214;Leah;Roberts;99940622967;89;397243097;751
215;Mayme;Brown;21266896063;18;926900334;2175
216;Aiden;Olson;67844989678;45;357027805;5307
217;Joseph;Wolfe;70745582204;33;170506861;9439
218;Caroline;Cook;6821919913;92;466871375;4976
219;Julian;Mendez;90570761211;65;575258830;5550
220;Gavin;Hamilton;21444939615;32;856434995;6535
221;Lulu;Patton;11862506791;19;632075897;1791
222;Devin;Sharp;76898344551;61;118841401;1370
223;Katherine;Clark;424658409;47;251494225;480
224;Lela;Jimenez;58017114181;40;862556056;5816
225;Bryan;Leonard;34111163472;21;88679047;6469
226;Larry;Butler;89842013417;70;555813536;7868
227;Anne;Graham;78844751631;1;960499707;9021
228;Sarah;Clark;25440917279;60;47004809;2088
229;Roxie;Fleming;89910005327;8;307346157;7361
230;Mabel;Padilla;84159807199;55;73386128;1057
231;Callie;Hoffman;6441701427;84;179756621;2775
232;Lina;Hernandez;14088087874;25;762941653;6434
233;Lester;Glover;37536812436;43;295636415;7463
234;Ellen;Parks;68389146709;78;44834555;8741
235;Ricardo;Leonard;10851745919;33;179783853;8375
236;Willie;Padilla;62473066917;43;282116989;8582
237;Mina;Cummings;58295305998;17;950852097;7993
238;Joshua;Black;61453972767;9;614624771;8729
239;Willie;Manning;40433223041;82;110700567;4827
240;Verna;Cole;16781676724;1;27497148;4438
241;Rosetta;Baldwin;9852012754;43;224781839;4139
242;Owen;McKinney;56471884565;84;108514544;937
243;Bruce;Reed;67289828721;67;340776330;6928
244;Jeff;Lewis;98373307298;11;657592383;5928
245;Gussie;Flowers;25922125065;18;22728122;5919
246;Evelyn;Munoz;98578790915;98;600102127;7648
247;Robert;Patton;44037977033;52;750964115;5741
248;Todd;Banks;72386720553;1;673086764;6451
249;Ora;Lynch;7212411525;38;414121754;1664
250;Hattie;Roberson;80297538129;28;81065905;5913
251;Viola;Barnes;16663544508;59;526678976;908
252;Laura;Sutton;27520590202;48;399344287;3143
253;Francis;Torres;87561389343;88;530073091;7478
254;Isaiah;Roberson;78877594130;32;268857875;3413
255;Eliza;Schmidt;52333579364;0;443932897;2367
256;Barbara;Moran;56948103993;15;338078208;2880
257;Irene;Ferguson;57633680129;59;101888849;2327
258;Josephine;Park;76647191763;96;183027522;1396
259;Bettie;Stevenson;55100805144;61;22756140;5000
260;Violet;James;59208991629;1;662307234;5918
261;Mason;Potter;76377807068;19;444519573;3428
262;Alberta;Holland;67327035431;82;77420689;1587
263;Martin;Bates;57838224317;57;185240180;4222
264;Myrtie;Medina;38663954595;34;105161;2790
265;Elmer;Gibson;57588442902;91;188822896;2130
266;Myrtle;Parker;19094871765;96;482793333;3907
267;Dorothy;Burton;80210136135;93;540939510;6426
268;Bradley;Colon;71599970353;53;524823291;1660
