1;Louisa;Patton;10.02.2010;3825.25
2;Mamie;Hopkins;12/17/1925;6316.07
3;Adelaide;West;03/18/1949;1683.77
4;Lucas;Hudson;06/16/1909;4470.51
5;Mathilda;Perez;10/22/1911;3968.80
6;Myrtle;Norman;10.07.1968;7876.49
7;Kenneth;Ingram;01.12.1959;3938.29
8;Zachary;Frazier;08.04.2026;9726.09
9;Jared;Horton;07/23/1977;3683.72
10;Wayne;Watts;11.06.1952;7757.98
11;Cole;McBride;11.10.2000;8747.29
12;Trevor;McGuire;05/23/1956;8408.94
13;Milton;Burns;05/20/1950;8293.38
14;Kenneth;Kelly;11.06.2020;2319.47
15;Carrie;Powers;02/20/2051;1852.67
16;Nancy;Briggs;05/21/2064;2762.09
17;Jason;Richardson;01.03.1982;8551.13
18;Travis;Dawson;04/20/2009;2581.37
19;Lulu;Owens;07/23/1988;2201.86
20;Ethan;Greer;09.02.1967;5834.54
21;Pearl;Woods;10.03.2010;8370.24
22;Birdie;Little;03.02.1982;2258.68
23;Hunter;Hernandez;03/23/1981;1698.07
24;Beatrice;Lyons;04/30/2054;7147.12
25;Lottie;Arnold;07/27/1951;6746.32
26;Beulah;Marsh;04/18/2009;9056.42
27;Bertie;Mendoza;09/22/1964;7788.32
28;Chad;Hodges;06.07.2003;3349.79
29;Eula;Morrison;08.11.2031;3264.31
30;Theresa;Valdez;02/20/1929;7608.70
31;Rena;Morgan;07/14/1928;3380.12
32;Tommy;Paul;02.11.2025;7068.64
33;Jesus;Manning;04.08.1996;5106.53
34;Alice;Massey;08/26/1945;1216.26
35;Gerald;Sanchez;07.05.1940;5642.22
36;Helena;Wong;05/23/2005;6349.95
37;Lettie;Adkins;04.02.1930;8513.04
38;Margaret;Myers;11.06.2036;4333.75
39;Alberta;Palmer;01/19/1925;6575.09
40;Hunter;Goodman;08/13/2036;6169.67
41;Lena;Daniel;05.10.1918;4267.89
42;Ann;Bradley;11/29/2033;3764.89
43;Augusta;Singleton;03/18/1929;9473.70
44;Oscar;Stewart;10/20/1933;5538.57
45;Rosie;McBride;01/28/2033;1940.75
46;Ethel;Abbott;08/18/2042;1862.50
47;Steven;Moody;11/29/1947;2762.04
48;Douglas;Fisher;03/29/2026;1454.61
49;Thomas;Gonzalez;01.12.1925;8272.42
50;Trevor;Jenkins;08/26/2061;1342.97
51;Julia;Ballard;12/27/2049;1912.58
52;Fanny;Thornton;02.03.1924;9512.83
53;Beulah;Larson;12/27/2004;6178.99
54;Cora;Fitzgerald;07/25/2048;2197.37
55;Elsie;Hughes;03/21/1978;5486.85
56;Melvin;Hicks;07.09.1938;3086.09
57;Belle;Oliver;08/23/1980;2671.14
58;Lucille;Burton;05.06.1944;3128.24
59;Tillie;Moore;10/16/1979;2932.72
60;Katharine;Parsons;07/14/1998;2904.58
61;Katharine;Reese;07/27/2063;4076.20
62;Todd;Rice;07/26/1900;4877.11
63;Callie;Jacobs;11.10.1950;3039.67
64;Arthur;Saunders;12/27/1964;3113.77
65;Dominic;Miller;11/22/1931;4439.05
66;Samuel;Webb;04/28/1994;8260.48
67;Edna;Henderson;06.02.1972;5555.66
68;Kenneth;Bell;04.12.2040;6576.30
69;Luke;Poole;05/25/2004;5541.99
70;Matthew;Medina;06/17/2054;4119.69
71;Josephine;Cannon;06/22/1983;3988.49
72;Stella;Gardner;12/29/1923;7763.52
73;Lizzie;Reyes;04.08.1974;1483.37
74;Leona;Ramsey;01.04.2036;8749.37
75;Lela;Fisher;02.10.1945;8446.97
76;Andrew;Paul;01/18/2052;7472.48
77;Edwin;Jackson;01.01.1972;8572.49
78;Georgia;Wheeler;01.12.1992;2057.74
79;Esther;Gutierrez;07/21/2011;9613.17
80;Rachel;Wong;08.01.1930;8606.37
81;Sadie;Mendoza;03/21/2038;9296.60
82;Martha;Fields;12.04.2033;4795.74
83;Lena;Robbins;03.12.1947;7964.49
84;Mattie;Owens;02/27/1908;9398.99
85;Max;Briggs;04/17/1927;2770.73
86;Olga;Steele;08/14/1964;4591.52
87;Helen;Robinson;06/28/1999;9285.47
88;Winnie;Howard;05.06.1964;8564.82
89;James;Howell;04.12.1910;5842.25
90;Adam;Pena;07/28/1902;9425.79
91;Ricardo;Allison;02/21/2066;8555.08
92;Duane;Daniels;02/14/1952;8617.59
93;Marie;Boyd;06/27/2019;9001.86
94;Kathryn;Moss;07/23/2022;9717.98
95;Sadie;Moreno;10.10.1998;4039.90
96;Mayme;Clayton;11/23/1970;6468.66
97;Elva;Soto;04/21/2010;1402.64
98;Susie;Morgan;01.03.1953;2040.35
99;Wesley;Bush;07/21/2053;8900.18
100;Calvin;Larson;03/25/1950;5084.07
101;Rodney;Diaz;05.10.1913;7963.26
102;Margaret;Jordan;11.12.2038;6250.50
103;Adele;Barber;02.07.2042;5526.58
104;Barry;Elliott;05/19/1974;5223.43
105;Elnora;Norris;10.01.1949;1611.84
106;Nell;Peters;09/19/1944;6099.42
107;Leonard;Gibbs;09/16/1951;7575.22
108;Flora;Warner;12.10.2041;5431.75
109;Douglas;Patton;07.03.2043;1654.73
110;Abbie;Sherman;03/30/1904;4128.17
111;Agnes;Cunningham;10/19/1988;1742.14
112;Craig;Gregory;08/23/1971;8914.46
113;Howard;Johnston;08/15/1960;7366.62
114;Christine;Barton;08/23/2007;9670.53
115;Nancy;Walters;07/25/2004;2770.88
116;Anne;Gutierrez;08.03.1920;7586.17
117;Cody;Barnes;06/13/2057;1866.30
118;Nina;Frazier;06/27/2026;5865.01
119;Lulu;Salazar;08/14/1960;7607.84
120;Nathaniel;Blake;10.06.1984;8674.76
121;Lura;Medina;03.08.1936;7607.25
122;Lewis;Jordan;02/18/1950;8962.07
123;Luis;Newman;04.05.1970;6158.93
124;Cody;Ryan;06.01.2028;7187.75
125;Tommy;Roberts;06/25/1908;6534.45
126;Ray;Glover;09/28/2049;4897.03
127;May;Wilkerson;04/30/2053;5158.20
128;Barry;Brooks;11.10.1925;2832.66
129;Larry;Hogan;05.11.1974;9876.94
130;Mark;Little;03.07.1920;3304.12
131;Benjamin;Lambert;07/28/2036;8256.55
132;Clara;Dixon;07/29/1973;1537.97
133;Addie;Mack;04/18/2035;9863.63
134;Earl;Ray;05.07.1983;9620.60
135;Shawn;Robinson;08.10.2016;6603.78
136;Alvin;Gross;11/27/1945;8677.99
137;Frederick;Valdez;01/25/2031;6888.48
138;Harry;Lawson;08.05.1955;4720.91
139;Rosetta;McBride;09/28/1958;2828.97
140;Mabelle;Hughes;04/24/1949;8688.29
141;Herbert;Cortez;09/19/2058;8394.07
142;Eddie;Lloyd;05.02.1902;8155.19
143;Catherine;Underwood;04.08.2059;8483.01
144;Susan;Clayton;12/28/1963;3725.43
145;Peter;Strickland;02.01.1964;6806.10
146;Marcus;Kelley;11/29/2024;9381.44
147;Lloyd;Miles;11/16/2032;2510.69
148;Miguel;Cannon;10.11.1987;5057.27
149;Emma;Snyder;06.02.1994;4431.54
150;John;Goodwin;02/20/2005;7647.11
151;Helena;Moody;12/17/1901;3233.55
152;Marcus;Ramsey;06.04.1901;5145.63
153;Ryan;Rowe;07/18/2052;7848.48
154;Lucile;Frank;09/19/2055;5632.52
155;Betty;Peters;07/29/1928;1462.15
156;Kate;Fitzgerald;08.09.1966;5071.60
157;Vernon;Ellis;10/29/1926;3664.24
158;Mason;Peterson;06/22/2015;4488.71
159;Leon;Vasquez;10.10.1965;4726.79
160;Gordon;Woods;09/24/1937;9085.18
161;Ronnie;Fernandez;09/14/2027;5146.25
162;Jim;Blake;11/18/2069;2165.30
163;Walter;Jenkins;09/21/1957;6457.32
164;Elnora;Pena;03/31/1953;7245.11
165;Victoria;Butler;06/26/2005;6219.06
166;Mildred;Davidson;03/13/1929;4210.45
167;Myrtie;Cruz;04/17/1982;1074.37
168;Duane;Hayes;04/18/1945;4349.48
169;Ophelia;Patrick;05.09.1924;2106.01
170;Carlos;Evans;04/22/1974;3579.02
171;Linnie;Cooper;12.09.2042;1998.58
172;Sue;Kennedy;04/30/1937;1866.62
173;Mattie;Ellis;05.06.1950;8491.55
174;Grace;Fuller;02/25/1989;2242.58
175;Mina;Martinez;09/30/1917;3951.84
176;Miguel;Morrison;02.03.2017;5864.90
177;Darrell;Stewart;06.11.2057;8289.64
178;Dustin;Barnes;01/14/2032;7203.42
179;Wesley;Hanson;10.09.2023;3921.18
180;Johnny;Reed;01.02.1901;6010.06
181;Lora;Vasquez;10/27/1992;2896.52
182;Albert;Hayes;01/22/1910;9710.15
183;Estelle;Gray;02.03.1912;6499.78
184;Austin;Allison;03/26/2045;4134.38
185;Leon;Klein;02/15/1960;9516.06
186;Lenora;Boyd;10.12.2015;8655.11
187;Bertie;Saunders;08/27/1982;2993.20
188;Billy;Owens;01.10.2006;8324.64
189;Joe;Becker;01/21/1927;9851.53
190;Ann;Tran;03/20/1973;5093.27
191;Angel;Townsend;05/29/1999;7066.47
192;Josie;Delgado;11.11.1954;1063.28
193;Austin;Castillo;09/19/1903;7396.09
194;Andre;Morrison;09/21/1979;7343.00
195;Christian;Todd;11.11.1986;4928.88
196;Cody;Roberson;12/14/1992;1146.74
197;Vera;Rodgers;05/30/1931;3092.54
198;Lily;Carter;07/25/2035;6540.10
199;Rachel;Saunders;09/28/1922;4816.88
200;Elizabeth;Horton;02.06.2006;6653.96
201;Leona;Ferguson;07/24/2026;8027.15
202;Teresa;Daniels;06.08.2003;7300.54
203;Caleb;Allen;11.10.2027;1511.57
204;Howard;Malone;07.01.2014;9415.18
205;Juan;Malone;04.01.2002;6441.58
206;Sarah;Baldwin;10.10.1968;3079.56
207;Minerva;Long;05.05.1969;5783.84
208;Terry;Pittman;06/25/2000;7199.35
209;Carlos;Haynes;09/13/1991;6963.72
210;Linnie;Perkins;05.10.2017;7041.84
211;Rachel;Jones;03.12.1933;1310.76
212;Martin;Little;04.12.1956;2060.02
213;Nathan;Graves;01/17/1926;4799.75
214;Howard;May;12.03.1946;5900.84
215;Leroy;Bryant;05/31/2037;6939.32
216;Roxie;Evans;08/24/1965;7085.90
217;Arthur;Bryan;10/13/2003;6878.18
218;Jessie;Logan;04/17/1935;4752.08
219;Betty;Hayes;12/17/1915;1456.89
220;Elmer;Reid;12/18/2042;3712.95
221;Augusta;Vaughn;02/21/2005;6871.30
222;Franklin;Pope;04/19/1937;5335.69
223;Sylvia;Tucker;05.02.2047;4373.16
224;Tillie;Quinn;01/23/2034;3594.33
225;Edna;Webster;11.10.2015;3879.83
226;Richard;Hammond;03/17/2037;2970.60
227;Marvin;Riley;03/16/2068;4206.81
228;Gertrude;Ruiz;08/23/2068;8502.93
229;Ruth;Little;07/17/1910;1883.97
230;Lelia;Crawford;11.01.1927;4005.64
231;Daisy;Woods;10.11.1929;6419.68
232;Justin;Wilkerson;02.12.1928;8852.84
233;Herman;Singleton;02/18/1975;8904.32
234;Esther;Ballard;05/18/1944;8450.21
235;Sallie;Howell;05/31/1920;6013.85
236;Bertie;Hines;04/14/1962;4518.07
237;Delia;Ramirez;06.05.2041;8222.62
238;Allen;Poole;07/26/1912;9371.97
239;Cole;Abbott;05/25/1962;5547.76
240;Matthew;Romero;11.02.1914;4538.95
241;Jack;Briggs;05.08.1973;1236.89
242;Ricardo;Sanchez;05/26/1989;7968.30
243;Francis;Hogan;04.08.1968;9574.44
244;Mason;McDaniel;10.09.2030;2971.13
245;Alma;Carter;02/17/1975;3542.55
246;Ricky;Mathis;03/20/1963;6149.90
247;Joseph;Miller;09/15/1991;4540.82
248;Lettie;Osborne;11/27/2025;8327.74
249;Max;Schultz;03.03.2007;6053.93
250;Patrick;Hines;03/27/1956;2835.08
251;Marie;Yates;12.06.1951;9043.59
252;Chad;Sherman;09.08.2000;9747.81
253;Leroy;Montgomery;12/23/2036;4028.44
254;Nicholas;Gomez;01/28/2059;8222.45
255;Edna;Lee;07/31/1911;7987.19
256;Harriet;Baldwin;10/30/2069;5038.41
257;Jose;West;07.01.1979;9682.56
258;Caleb;Phelps;07/29/1940;9516.03
259;Charlotte;Edwards;01.12.2028;2529.81
260;Nelle;Mills;03.02.1954;4121.04
261;Lucille;Boone;01/20/2046;7422.52
262;Lulu;Osborne;05.08.1999;5489.55
263;Lloyd;Cole;04/14/1982;9366.52
264;Etta;Meyer;02.05.2056;6508.82
265;Jason;Ryan;04.07.1984;7061.89
266;Scott;Perry;12/28/1954;8434.32
267;Travis;Goodwin;11/20/2049;2468.48
268;David;Alexander;07.08.2027;9614.63
269;Margaret;Wade;06/20/2035;2201.43
270;Bertha;Graves;02/28/2057;4177.54
271;Victor;Vasquez;02/17/2017;6537.05
272;Lydia;Roberts;01/19/2051;6161.13
273;Nathan;Glover;01.10.2069;9549.76
274;Ryan;Hayes;01/23/1905;8889.15
275;Samuel;Patton;03.01.1984;8763.92
276;Sadie;Jennings;11.01.2060;1510.88
277;Allen;Lawrence;04.11.2031;4756.60
278;Jeffery;Wood;04/22/1993;3230.46
279;Bobby;Hammond;04.02.1957;8269.70
280;Ethel;Howell;11.12.2061;9809.33
281;Gussie;Porter;07/31/1962;7956.73
282;Blake;Sherman;09/25/1965;1668.32
283;Nathan;Chambers;03/17/2002;7088.45
284;Violet;Diaz;01/18/1972;1743.69
285;Leila;Peters;08.03.1948;4897.71
286;Theodore;Gonzalez;10/18/2010;7431.53
287;Winifred;Stevenson;08/18/2023;7631.97
288;Delia;George;12/28/1975;6439.85
289;Rose;Berry;05/20/2017;5659.71
290;Daniel;Obrien;06.01.1984;2391.14
291;Abbie;Robertson;03.08.1917;5335.68
292;Eleanor;Cox;01.07.2030;9320.08
293;Clyde;Hubbard;12.12.1999;7629.96
294;Philip;Wise;05/28/1974;3800.10
295;Leroy;Fuller;01/29/2014;6323.52
296;Victor;Moran;11.08.2012;4551.31
297;Chester;Clarke;12/14/1958;2565.77
298;Phoebe;Rodriguez;08/27/1945;9038.69
299;Scott;Fletcher;12.06.1959;7545.38
300;Gussie;Harrington;06.12.1946;1990.79
301;Nora;Hernandez;12/16/2016;1551.08
302;Lucille;Miles;02/17/2069;7015.69
303;Herman;Thompson;04/27/2003;2170.57
304;Lois;Collins;01/17/1927;7682.38
305;Ian;Harrington;01.01.1941;9773.08
306;Lester;Nelson;09/18/1932;6950.10
307;Marguerite;Colon;08.06.1921;4555.44
308;Theodore;Drake;11/18/1973;7601.72
309;Lina;Simpson;01/21/1938;6082.67
310;Teresa;Gray;01.10.1935;1946.20
